time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2022-08-01T14:17:00Z,20.5588,1,0.0
2022-08-01T14:21:00Z,20.3798,1,0.0
2022-08-01T14:25:00Z,20.507,1,0.0
2022-08-01T14:29:00Z,20.2574,1,0.0
2022-08-01T14:33:00Z,20.548,1,0.0
2022-08-01T14:37:00Z,20.6048,1,0.0
2022-08-01T14:41:00Z,20.5188,1,0.0
2022-08-01T14:45:00Z,20.1427,1,0.0
2022-08-01T14:49:00Z,19.8104,1,0.0
2022-08-01T14:53:00Z,20.0064,1,0.0
2022-08-01T14:57:00Z,19.9122,1,0.0
2022-08-01T15:01:00Z,20.0129,1,0.0
2022-08-01T15:05:00Z,20.1335,1,0.0
2022-08-01T15:09:00Z,20.2263,1,0.0
2022-08-01T15:13:00Z,20.4019,1,0.0
2022-08-01T15:17:00Z,20.474,1,0.0
2022-08-01T15:21:00Z,20.4803,1,0.0
2022-08-01T15:25:00Z,20.4802,1,0.0
2022-08-01T15:29:00Z,20.5644,1,0.0
2022-08-01T15:33:00Z,20.3982,1,0.0
2022-08-01T15:37:00Z,20.3705,1,0.0
2022-08-01T15:41:00Z,20.3519,1,0.0
2022-08-01T15:45:00Z,20.3288,1,0.0
2022-08-01T15:49:00Z,20.383,1,0.0
2022-08-01T15:53:00Z,20.5144,1,0.0
2022-08-01T15:57:00Z,20.8342,1,0.0
2022-08-01T16:01:00Z,20.9323,1,0.0
2022-08-01T16:05:00Z,20.9997,1,0.0
2022-08-01T16:09:00Z,21.0945,1,0.0
2022-08-01T16:13:00Z,21.0536,1,0.0
2022-08-01T16:17:00Z,21.0593,1,0.0
2022-08-01T16:21:00Z,21.097,1,0.0
2022-08-01T16:25:00Z,21.0802,1,0.0
2022-08-01T16:29:00Z,21.0826,1,0.0
2022-08-01T16:33:00Z,21.0412,1,0.0
2022-08-01T16:37:00Z,21.0401,1,0.0
2022-08-01T16:41:00Z,21.0146,1,0.0
2022-08-01T16:45:00Z,21.0168,1,0.0
2022-08-01T16:49:00Z,21.0274,1,0.0
2022-08-01T16:53:00Z,21.0834,1,0.0
2022-08-01T16:57:00Z,21.0923,1,0.0
2022-08-01T17:01:00Z,21.1887,1,0.0
2022-08-01T17:05:00Z,21.1476,1,0.0
2022-08-01T17:09:00Z,21.1514,1,0.0
2022-08-01T17:13:00Z,21.1866,1,0.0
2022-08-01T17:17:00Z,21.1739,1,0.0
2022-08-01T17:21:00Z,21.19,1,0.0
2022-08-01T17:25:00Z,21.2065,1,0.0
2022-08-01T17:29:00Z,21.1913,1,0.0
2022-08-01T17:33:00Z,21.2008,1,0.0
2022-08-01T17:37:00Z,21.2301,1,0.0
2022-08-01T17:41:00Z,21.2481,1,0.0
2022-08-01T17:45:00Z,21.2472,1,0.0
2022-08-01T17:49:00Z,21.265,1,0.0
2022-08-01T17:53:00Z,21.2809,1,0.0
2022-08-01T17:57:00Z,21.3144,1,0.0
2022-08-01T18:01:00Z,21.2853,1,0.0
2022-08-01T18:05:00Z,21.3115,1,0.0
2022-08-01T18:09:00Z,21.3408,1,0.0
2022-08-01T18:13:00Z,21.3584,1,0.0
2022-08-01T18:17:00Z,21.3455,1,0.0
2022-08-01T18:21:00Z,21.4333,1,0.0
2022-08-01T18:25:00Z,21.422,1,0.0
2022-08-01T18:29:00Z,21.426,1,0.0
2022-08-01T18:33:00Z,21.4205,1,0.0
2022-08-01T18:37:00Z,21.4457,1,0.0
2022-08-01T18:41:00Z,21.4477,1,0.0
2022-08-01T18:45:00Z,21.4508,1,0.0
2022-08-01T18:49:00Z,21.444,1,0.0
2022-08-01T18:53:00Z,21.4566,1,0.0
2022-08-01T18:57:00Z,21.4615,1,0.0
2022-08-01T19:01:00Z,21.4767,1,0.0
2022-08-01T19:05:00Z,21.472,1,0.0
2022-08-01T19:09:00Z,21.4984,1,0.0
2022-08-01T19:13:00Z,21.504,1,0.0
2022-08-01T19:17:00Z,21.5072,1,0.0
2022-08-01T19:21:00Z,21.5156,1,0.0
2022-08-01T19:25:00Z,21.5103,1,0.0
2022-08-01T19:29:00Z,21.5077,1,0.0
2022-08-01T19:33:00Z,21.5097,1,0.0
2022-08-01T19:37:00Z,21.5084,1,0.0
2022-08-01T19:41:00Z,21.5074,1,0.0
2022-08-01T19:45:00Z,21.5005,1,0.0
2022-08-01T19:49:00Z,21.4902,1,0.0
2022-08-01T19:53:00Z,21.4128,1,0.0
2022-08-01T19:57:00Z,21.3059,1,0.0
2022-08-01T20:01:00Z,21.3959,1,0.0
2022-08-01T20:05:00Z,21.3048,1,0.0
2022-08-01T20:09:00Z,21.2324,1,0.0
2022-08-01T20:13:00Z,21.1952,1,0.0
2022-08-01T20:17:00Z,21.2067,1,0.0
2022-08-01T20:21:00Z,21.2364,1,0.0
2022-08-01T20:25:00Z,21.2426,1,0.0
2022-08-01T20:29:00Z,21.199,1,0.0
2022-08-01T20:33:00Z,21.2558,1,0.0
2022-08-01T20:37:00Z,21.3051,1,0.0
2022-08-01T20:41:00Z,21.3938,1,0.0
2022-08-01T20:45:00Z,21.4668,1,0.0
2022-08-01T20:49:00Z,21.2791,1,0.0
2022-08-01T20:53:00Z,21.3073,1,0.0
2022-08-01T20:57:00Z,21.2946,1,0.0
2022-08-01T21:01:00Z,21.3749,1,0.0
2022-08-01T21:05:00Z,21.4034,1,0.0
2022-08-01T21:09:00Z,21.3679,1,0.0
2022-08-01T21:13:00Z,21.3731,1,0.0
2022-08-01T21:17:00Z,21.4239,1,0.0
2022-08-01T21:21:00Z,21.4203,1,0.0
2022-08-01T21:25:00Z,21.4551,1,0.0
2022-08-01T21:29:00Z,21.4619,1,0.0
2022-08-01T21:33:00Z,21.4945,1,0.0
2022-08-01T21:37:00Z,21.5291,1,0.0
2022-08-01T21:41:00Z,21.4603,1,0.0
2022-08-01T21:45:00Z,21.4839,1,0.0
2022-08-01T21:49:00Z,21.4612,1,0.0
2022-08-01T21:53:00Z,21.4976,1,0.0
2022-08-01T21:57:00Z,21.4937,1,0.0
2022-08-01T22:01:00Z,21.3397,1,0.0
2022-08-01T22:05:00Z,21.3168,1,0.0
2022-08-01T22:09:00Z,21.3271,1,0.0
2022-08-01T22:13:00Z,21.3778,1,0.0
2022-08-01T22:17:00Z,21.2412,1,0.0
2022-08-01T22:21:00Z,21.1921,1,0.0
2022-08-01T22:25:00Z,20.5126,1,0.0
2022-08-01T22:29:00Z,20.9586,1,0.0
2022-08-01T22:33:00Z,20.8534,1,0.0
2022-08-01T22:37:00Z,20.8499,1,0.0
2022-08-01T22:41:00Z,21.0831,1,0.0
2022-08-01T22:45:00Z,20.974,1,0.0
2022-08-01T22:49:00Z,20.9976,1,0.0
2022-08-01T22:53:00Z,20.9478,1,0.0
2022-08-01T22:57:00Z,20.7357,1,0.0
2022-08-01T23:01:00Z,20.8813,1,0.0
2022-08-01T23:05:00Z,20.6588,1,0.0
2022-08-01T23:09:00Z,20.7058,1,0.0
2022-08-01T23:13:00Z,20.6654,1,0.0
2022-08-01T23:17:00Z,20.5403,1,0.0
2022-08-01T23:21:00Z,20.4768,1,0.0
2022-08-01T23:25:00Z,20.6819,1,0.0
2022-08-01T23:29:00Z,20.3234,1,0.0
2022-08-01T23:33:00Z,20.1796,1,0.0
